,minute,open,high,low,close
0,04/26/2022 13:06,40525.86,40528.06,40520.88,40524.52
1,04/26/2022 13:08,40524.52,40557.02,40524.52,40549.35
2,04/26/2022 13:10,40552.85,40580.95,40549.54,40575.98
3,04/26/2022 13:11,40575.89,40575.89,40575.89,40575.89
4,04/26/2022 13:12,40575.76,40578.58,40513.25,40526.32
5,04/26/2022 13:14,40523.22,40546.28,40522.95,40535.84
6,04/26/2022 13:15,40533.62,40533.62,40531.87,40531.87
7,04/26/2022 13:16,40534.82,40538.28,40512.66,40522.1
8,04/26/2022 13:18,40522.1,40526,40521.06,40523.55
9,04/26/2022 13:20,40522.11,40536.75,40511.84,40518.31
10,04/26/2022 13:22,40518.31,40531.47,40512.26,40518.81
11,04/26/2022 13:23,40519.66,40519.81,40519.66,40519.81
12,04/26/2022 13:24,40516.36,40526.24,40511.44,40514.26
13,04/26/2022 13:25,40514.27,40514.27,40514.27,40514.27
14,04/26/2022 13:26,40513.85,40522.81,40507.44,40522.81
15,04/26/2022 13:28,40520.75,40529.15,40497.85,40529.15
16,04/26/2022 13:29,40529.81,40534.61,40529.81,40532.47
17,04/26/2022 13:30,40530.38,40536.28,40500.31,40500.31
18,04/26/2022 13:31,40500.34,40500.34,40497.98,40497.98
19,04/26/2022 13:32,40497.98,40500.57,40481.99,40488.42
20,04/26/2022 13:34,40487.37,40487.37,40473.1,40473.7
21,04/26/2022 13:35,40473.79,40476.08,40473.79,40476.08
22,04/26/2022 13:36,40473.72,40486,40459.51,40474.91
23,04/26/2022 13:38,40476.22,40504.89,40474.08,40494.85
24,04/26/2022 13:39,40495.11,40495.11,40495.11,40495.11
25,04/26/2022 13:40,40495.05,40503.73,40462.71,40469.61
26,04/26/2022 13:42,40469.64,40470.84,40372.74,40433.53
27,04/26/2022 13:43,40436.62,40436.62,40436.62,40436.62
28,04/26/2022 13:44,40439.25,40488.36,40439.24,40477.88
29,04/26/2022 13:45,40478.22,40478.22,40478.17,40478.17
30,04/26/2022 13:46,40478.2,40531.46,40460,40521.92
31,04/26/2022 13:47,40520.68,40520.68,40520.48,40520.48
32,04/26/2022 13:48,40520.48,40537.67,40507.68,40531.56
33,04/26/2022 13:49,40531.05,40532.41,40531.05,40532.41
34,04/26/2022 13:50,40531.56,40531.56,40507.36,40512.04
35,04/26/2022 13:51,40514.31,40514.31,40510.99,40511.33
36,04/26/2022 13:52,40506.53,40557.83,40498.41,40555.02
37,04/26/2022 13:53,40552.34,40552.34,40552.34,40552.34
38,04/26/2022 13:54,40552.33,40614.4,40552.33,40590.65
39,04/26/2022 13:56,40590.65,40650.52,40589.78,40643.83
40,04/26/2022 13:57,40643.21,40643.21,40640.75,40640.75
41,04/26/2022 13:58,40641.02,40641.02,40587.89,40607.92
42,04/26/2022 14:00,40605.08,40607.92,40573.32,40595.91
43,04/26/2022 14:02,40595.9,40595.9,40564.91,40570.76
44,04/26/2022 14:03,40570.68,40575.12,40570.68,40573.64
45,04/26/2022 14:04,40581.93,40633.91,40581.93,40625.94
46,04/26/2022 14:05,40621.77,40621.78,40621.77,40621.78
47,04/26/2022 14:06,40620.41,40631.91,40605.83,40614.34
48,04/26/2022 14:08,40612.07,40617.13,40588.57,40601.4
49,04/26/2022 14:09,40601.31,40601.31,40598.17,40598.17
50,04/26/2022 14:10,40601.3,40601.3,40570.82,40573.11
51,04/26/2022 14:11,40573.11,40576.43,40573.11,40576.43
52,04/26/2022 14:12,40579.74,40595.01,40563.13,40585.66
53,04/26/2022 14:13,40585.21,40585.21,40585.21,40585.21
54,04/26/2022 14:14,40585.17,40589.32,40563.06,40565.84
55,04/26/2022 14:15,40565.92,40565.92,40565.92,40565.92
56,04/26/2022 14:16,40568.11,40581.3,40562.14,40566.5
57,04/26/2022 14:17,40569.37,40569.38,40569.37,40569.38
58,04/26/2022 14:18,40567.64,40582.25,40558.95,40575.45
59,04/26/2022 14:20,40575.49,40581.36,40557.94,40562.9
60,04/26/2022 14:22,40562.63,40566.12,40546.89,40554.57
61,04/26/2022 14:23,40554.7,40554.7,40554.63,40554.63
62,04/26/2022 14:24,40555.1,40574.44,40550.62,40572.24
63,04/26/2022 14:26,40570.93,40599.46,40567.52,40580.87
64,04/26/2022 14:28,40583.68,40594.25,40555.65,40575.54
65,04/26/2022 13:33,40572.95,40634.03,40568.15,40618.94
66,04/26/2022 13:41,40619.59,40640.47,40595.84,40624.31
67,04/26/2022 13:55,40624.17,40638.47,40601.87,40625.15
68,04/26/2022 13:59,40624.99,40653.53,40607.68,40646.47
69,04/26/2022 14:07,40648.7,40666.59,40638.07,40653.04
70,04/26/2022 14:29,40650.33,40660.48,40645.88,40659.67
71,04/26/2022 14:30,40657.4,40660.67,40646.92,40652.86
72,04/26/2022 14:31,40655.66,40656,40636.72,40641.32
73,04/26/2022 14:32,40636.07,40649.49,40627.79,40629.03
74,04/26/2022 14:33,40630.14,40638.93,40618.6,40621.94
75,04/26/2022 14:34,40622.71,40624.62,40596.18,40599.9
76,04/26/2022 14:35,40599.85,40599.85,40578.42,40583.36
77,04/26/2022 14:36,40583.37,40600.18,40576.53,40591.85
78,04/26/2022 14:37,40591.75,40610.7,40576.64,40605.79
79,04/26/2022 14:38,40606.66,40614.83,40591.16,40597.11
80,04/26/2022 14:39,40598.83,40632.88,40597.15,40616.89
81,04/26/2022 14:40,40615.41,40634.68,40607.58,40607.72
82,04/26/2022 14:41,40609.04,40609.04,40586.3,40602.1
83,04/26/2022 14:42,40602,40603.39,40582.32,40592.8
84,04/26/2022 14:43,40592.8,40620.5,40591.55,40601.03
85,04/26/2022 14:44,40600.98,40631.06,40600.55,40622.37
86,04/26/2022 14:46,40623.91,40647.89,40622.29,40641.67
87,04/26/2022 14:48,40640.6,40651.16,40627.19,40636.55
88,04/26/2022 14:50,40633.13,40650.44,40626.27,40641.35
89,04/26/2022 14:52,40644.76,40680.03,40635.48,40679.2
90,04/26/2022 14:53,40677.73,40677.73,40676.36,40676.36
91,04/26/2022 14:54,40677.73,40679.95,40637.87,40639.03
92,04/26/2022 14:56,40642.42,40664.57,40620.68,40655.84
93,04/26/2022 14:58,40655.73,40662.4,40649.55,40656.05
94,04/26/2022 15:00,40656.04,40663.14,40636.78,40657.52
95,04/26/2022 15:02,40658.21,40661.09,40635.99,40635.99
96,04/26/2022 15:03,40635.99,40635.99,40635.99,40635.99
97,04/26/2022 15:04,40635.99,40644.44,40631.3,40643.09
98,04/26/2022 15:05,40643.07,40644.41,40643.07,40644.41
99,04/26/2022 15:06,40642.24,40646.17,40637.65,40639.35
100,04/26/2022 15:08,40640.29,40661.4,40640.12,40656.39
101,04/26/2022 15:10,40651.18,40661.01,40651.07,40658.7
102,04/26/2022 15:12,40658.69,40667.63,40657.63,40664.14
103,04/26/2022 15:14,40664.15,40672.23,40655.83,40663.98
104,04/26/2022 15:16,40665.81,40817.16,40660.51,40751.42
105,04/26/2022 15:17,40749.86,40749.86,40749.84,40749.84
106,04/26/2022 15:18,40749.86,40755.74,40706.6,40722.31
107,04/26/2022 15:19,40722.03,40722.03,40722.03,40722.03
108,04/26/2022 15:20,40719.34,40719.78,40652.73,40655.36
109,04/26/2022 15:21,40650.26,40650.26,40650.26,40650.26
110,04/26/2022 15:22,40650.25,40672.31,40640.89,40653.25
111,04/26/2022 15:23,40653,40653,40652.49,40652.49
112,04/26/2022 15:24,40652.12,40653.03,40622.71,40637.05
113,04/26/2022 15:26,40636.2,40641.44,40619.65,40625.75
114,04/26/2022 15:28,40625.17,40626.85,40478.48,40504.49
115,04/26/2022 14:45,40505.3,40527.9,40502.32,40522.17
